DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,DESTINATION PORT,BUYER,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT, QUANTITY , VALUE(USD) , UNIT PRICE ,Seller Group,Buyer Group,Spare / Unit / Others,Product,Model,Category,Type,Manufacturer,Relevancy,Buyer_Type,Seller_Type
10-09-2021,1094305177,72051021,Iron and Steel,STEEL SHOT (TSP-70TA) (QTY-3 MTS) (USED IN SHOT PEENING PROCESS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 5,800 ", $ 1.93 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
12-04-2021,1107988891,72051021,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHORT PEENING PROCESS MACHINE)(QTY-2 MTS) ,INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  2 ," $ 3,922 ", $ 1.96 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
17-02-2021,1436383057,72051021,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHORT PEENING PROCESS MACHINE)(QTY-3 MTS),INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  3 ," $ 5,050 ", $ 1.68 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
14-02-2022,1238032709,72051021,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHORT PEENING PROCESS MACHINE)(QTY-3.0 MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 6,704 ", $ 2.23 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
10-02-2020,100220207309650,72051019,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHOT PEENING PROCESS MACHINE)(QTY-1 MTS) ,INDIA,DELHI AIR CARGO (INDEL4),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,TOKYO,MTS,  1 ," $ 2,055 ", $ 2.06 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
07-05-2020,0705202014213214,72051019,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHOT PEENING PROCESS MACHINE)(QTY-5 MTS) ,INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  5 ," $ 7,932 ", $ 1.59 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
07-05-2020,0705202014213122,72051019,Iron and Steel,STEEL SHOT (TSP-70TA) (USED IN SHOT PEENING PROCESS MACHINE)(QTY-9 MTS) ,INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  9 ," $ 14,279 ", $ 1.59 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
28-08-2021,1191609436,72051021,Iron and Steel,STEEL SHOT (TSP-70TA)(QTY-3 MTS)(USED IN SHOT PEENING PROCESS MACHINE) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  3 ," $ 5,800 ", $ 1.93 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
07-07-2021,1189722350,72051021,Iron and Steel,STEEL SHOT (TSP-70TA)(QTY-4 MTS)(USED IN SHOT PEENING PROCESS MACHINE) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  4 ," $ 6,145 ", $ 1.54 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
07-08-2021,1079946682,72051021,Iron and Steel,STEEL SHOT (TSP-70TA)(QTY-4 MTS)(USED IN SHOT PEENING PROCESS MACHINE) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  4 ," $ 7,336 ", $ 1.83 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
25-05-2021,1154170009,72051021,Iron and Steel,STEEL SHOT (TSP-70TA)(USED IN SHORT PEENING PROCESS MACHINE)(QTY-5 MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  5 ," $ 9,064 ", $ 1.81 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
05-08-2022,0285266875,72051090,Iron and Steel,STEEL SHOT TSP-70TA ,INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 6,951 ", $ 2.32 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
18-10-2022,9201370140,72051090,Iron and Steel,STEEL SHOT TSP-70TA ,INDIA,PATPARGANJ (INPPG6),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  3 ," $ 6,831 "," $ 2,276.92 ",,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
04-03-2022,1104336698,72051090,Iron and Steel,STEEL SHOT TSP-70TA (3 MTS @ 1600 USD / MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 6,562 ", $ 2.19 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
03-04-2022,1078302980,72051090,Iron and Steel,STEEL SHOT TSP-70TA (3 MTS @ 1600 USD / MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 6,562 ", $ 2.19 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
17-05-2022,1130457816,72051090,Iron and Steel,STEEL SHOT TSP-70TA (3 MTS @ 1600 USD / MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 6,598 ", $ 2.20 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
02-11-2022,6749096241,72051090,Iron and Steel,STEEL SHOT TSP-70TA (3 MTS @ 1690 USD / MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  3 ," $ 6,831 ", $ 2.28 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
08-06-2022,1046036684,72051090,Iron and Steel,STEEL SHOT TSP-70TA (3 MTS @ 1730 USD / MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 6,990 ", $ 2.33 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
08-07-2022,1157199305,72051090,Iron and Steel,STEEL SHOT TSP-70TA (3 MTS @ 1730 USD / MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  3 ," $ 6,951 ", $ 2.32 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
20-08-2022,0286786417,72051090,Iron and Steel,STEEL SHOT TSP-70TA (4 MTS @ 1690 USD / MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,,MTS,  4 ," $ 8,776 ", $ 2.19 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
04-05-2021,1164444359,72051021,Iron and Steel,STEEL SHOT(TSP-70TA) (USED IN SHORT PEENING PROCESS MACHINE)(QTY-3 MTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),THE HI-TECH GEARS LIMITED,JAPAN,Winoa Group,NAGOYA,MTS,  3 ," $ 5,668 ", $ 1.89 ,,,,Steel Shot,Special Grade - TSP 70TA,Shots,High Carbon,,,End Customer,Manufacturer
02-10-2020,0210202026296713,72051090,Iron and Steel,24.00 MTS STEEL SHOT S550 ,INDIA,NHAVA SHEVA SEA (INNSA1),INDUS FERROTECH LIMITED,THAILAND,Winoa Group,LAEM CHABANG,MTS,  24 ," $ 16,560 ", $ 0.69 ,,,,Steel Shot,S550,Shots,High Carbon,,,End Customer,Manufacturer
22-12-2020,2.2122E+15,72051090,Iron and Steel,24.00 MTS STEEL SHOT S550 ,INDIA,NHAVA SHEVA SEA (INNSA1),INDUS FERROTECH LIMITED,THAILAND,Winoa Group,LAEM CHABANG,MTS,  24 ," $ 16,560 ", $ 0.69 ,,,,Steel Shot,S550,Shots,High Carbon,,,End Customer,Manufacturer
02-10-2020,0210202026287935,72051090,Iron and Steel,24.000 MT STEEL SHOT S550 ,INDIA,NHAVA SHEVA SEA (INNSA1),GHATGE PATIL INDUSTRIES LIMITED,THAILAND,Winoa Group,LAEM CHABANG,MTS,  24 ," $ 16,560 ", $ 0.69 ,,,,Steel Shot,S550,Shots,High Carbon,,,Reseller,Manufacturer
25-02-2019,250220195426400,72051011,Iron and Steel,GRANULAR STEEL ABRASIVES 24.000 METRIC TONS STEEL SHOT/ GRIT- S-330 [12.000 MT] (CERTIFICATE NO. AI2019-0004837 DATED. 0,INDIA,NHAVA SHEVA SEA (INNSA1),PSL CORROSION CONTROL SERVICES LIMITED,THAILAND,Winoa Group,,MTS,  12 ," $ 8,700 ", $ 0.73 ,,,,Steel Shot,S330,Shots,High Carbon,,,End Customer,Manufacturer
25-02-2019,250220195426400,72051011,Iron and Steel,GRANULAR STEEL ABRASIVES 24.000 METRIC TONS STEEL SHOT/ GRIT-G-25 [GP] [12.000 MT] (CERTIFICATE NO. AI2019-0004837 DATED,INDIA,NHAVA SHEVA SEA (INNSA1),PSL CORROSION CONTROL SERVICES LIMITED,THAILAND,Winoa Group,,MTS,  12 ," $ 8,700 ", $ 0.73 ,,,,Steel Shot,GP25,Grits,Steel grits,,,End Customer,Manufacturer
03-03-2021,1114458809,72051011,Iron and Steel,GRANULAR STEEL ABRASIVES STEEL SHOT (S330)(AI2021-0005022)(OTHER DETAILS AS PER INV PL/BL) ,INDIA,MUNDRA (INMUN1),ELECTROTHERM INDIA LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  6 ," $ 4,560 ", $ 760.00 ,,,,Steel Shot,S330,Shots,High Carbon,,,End Customer,Manufacturer
22-03-2021,1203685516,72051011,Iron and Steel,GRANULAR STEEL ABRASIVES STEEL SHOT (S330)(AI2021-0010768 DTD.01.03.2021)(OTHER DETAILS AS PER INV PL/BL) ,INDIA,MUNDRA (INMUN1),ELECTROTHERM INDIA LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  5 ," $ 3,420 ", $ 760.00 ,,,,Steel Shot,S330,Shots,High Carbon,,,End Customer,Manufacturer
02-04-2019,0204201911196680,72051011,Iron and Steel,GRANULAR STEEL ABRASIVES STEEL SHOT/ GRIT- S-330 [12.000 MT](CERTIFICATE NO. AI2019-0012223 DATED. 18.03.2019),INDIA,NHAVA SHEVA SEA (INNSA1),PSL CORROSION CONTROL SERVICES LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  12 ," $ 8,769 ", $ 0.73 ,,,,Steel Shot,S330,Shots,High Carbon,,,End Customer,Manufacturer
02-04-2019,0204201911196681,72051011,Iron and Steel,GRANULAR STEEL ABRASIVES STEEL SHOT/ GRIT-G-25 [GP] [12.000MT] (CERTIFICATE NO. AI2019-0012223 DATED. 18.03.2019),INDIA,NHAVA SHEVA SEA (INNSA1),PSL CORROSION CONTROL SERVICES LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  12 ," $ 8,769 ", $ 0.73 ,,,,Steel Shot,GP25,Grits,Steel grits,,,End Customer,Manufacturer
11-02-2019,110220195013820,72051011,Iron and Steel,GRANULAR STEEL ABRASIVES STEEL SHOT/GRIT GRADE S-330 (A.I.F.T.A.P.T. REF.NO.AI2019-0002445 DT.18.01.2019),INDIA,NHAVA SHEVA SEA (INNSA1),TATA STEEL LIMITED,THAILAND,Winoa Group,,MTS,  5 ," $ 3,700 ", $ 0.74 ,,,,Steel Shot,S330,Shots,High Carbon,,,End Customer,Manufacturer
22-12-2020,2.2122E+15,72051011,Iron and Steel,STEEL GRIT GH18 (STEEL GRITS & STEEL SHOTS ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  3 ," $ 2,175 ", $ 0.73 ,,,,Steel Shot,GH18,Grits,Steel grits,,,Reseller,Manufacturer
06-11-2020,0611202029471862,72051011,Iron and Steel,STEEL GRIT GH18 (STEEL GRITS & STEEL SHOTS(AFTA.NO:AI2020-0038068 DATE26-10-20. ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  6 ," $ 4,200 ", $ 0.70 ,,,,Steel Shot,GH18,Grits,Steel grits,,,Reseller,Manufacturer
05-01-2022,1036679807,72051011,Iron and Steel,STEEL GRIT GH18 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  2 ," $ 1,650 ", $ 1.10 ,,,,Steel Shot,GH18,Grits,Steel grits,,,Reseller,Manufacturer
14-02-2022,1377482060,72051011,Iron and Steel,STEEL GRIT GH18 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  8 ," $ 8,475 ", $ 1.13 ,,,,Steel Shot,GH18,Grits,Steel grits,,,Reseller,Manufacturer
11-04-2022,1048496226,72051011,Iron and Steel,STEEL GRIT GH18 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  2 ," $ 1,666 ", $ 1.11 ,,,,Steel Shot,GH18,Grits,Steel grits,,,Reseller,Manufacturer
19-05-2022,1121276736,72051011,Iron and Steel,STEEL GRIT GH18 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  5 ," $ 5,307 ", $ 1.18 ,,,,Steel Shot,GH18,Grits,Steel grits,,,Reseller,Manufacturer
10-06-2022,1022364833,72051011,Iron and Steel,STEEL GRIT GH18 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  3 ," $ 3,514 ", $ 1.17 ,,,,Steel Shot,GH18,Grits,Steel grits,,,Reseller,Manufacturer
22-12-2020,2.2122E+15,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  14 ," $ 9,788 ", $ 0.73 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
01-03-2021,1372626820,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  3 ," $ 2,355 ", $ 0.79 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
04-03-2021,1092784152,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  5 ," $ 3,533 ", $ 0.79 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
06-11-2020,0611202029471861,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS(AFTA.NO:AI2020-0038068 DATE26-10-20. ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  12 ," $ 8,400 ", $ 0.70 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
05-01-2022,1211637017,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  3 ," $ 3,300 ", $ 1.10 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
14-02-2022,1658169884,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  11 ," $ 11,865 ", $ 1.13 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
11-04-2022,1058385729,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  15 ," $ 16,662 ", $ 1.11 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
19-05-2022,1173447778,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  9 ," $ 10,614 ", $ 1.18 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
10-06-2022,1096218240,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  6 ," $ 6,925 ", $ 1.15 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
29-10-2020,2.9102E+15,72051011,Iron and Steel,STEEL GRIT GH25 (STEEL GRITS & STEEL SHOTS)(AFTA.NO:AI2020-0036545 DATE14-10-20.) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  8 ," $ 5,475 ", $ 0.73 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
02-09-2021,1181945116,72051011,Iron and Steel,STEEL GRIT GH25(STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  3 ," $ 2,929 ", $ 0.98 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
29-10-2021,1105006918,72051011,Iron and Steel,STEEL GRIT GH25(STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  3 ," $ 2,850 ", $ 0.95 ,,,,Steel Shot,GH25,Grits,Steel grits,,,Reseller,Manufacturer
22-12-2020,2.2122E+15,72051011,Iron and Steel,STEEL GRIT GH40 (STEEL GRITS & STEEL SHOTS ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  2 ," $ 1,088 ", $ 0.73 ,,,,Steel Shot,GH40,Grits,Steel grits,,,Reseller,Manufacturer
19-05-2022,1058979633,72051011,Iron and Steel,STEEL GRIT GH40 (STEEL GRITS & STEEL SHOTS ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  3 ," $ 3,538 ", $ 1.18 ,,,,Steel Shot,GH40,Grits,Steel grits,,,Reseller,Manufacturer
10-06-2022,1021222939,72051011,Iron and Steel,STEEL GRIT GH40 (STEEL GRITS & STEEL SHOTS ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  3 ," $ 3,514 ", $ 1.17 ,,,,Steel Shot,GH40,Grits,Steel grits,,,Reseller,Manufacturer
29-10-2020,2.9102E+15,72051011,Iron and Steel,STEEL GRIT GH40 (STEEL GRITS & STEEL SHOTS)(AFTA.NO:AI2020-0036545 DATE14-10-20.) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  2 ," $ 1,095 ", $ 0.73 ,,,,Steel Shot,GH40,Grits,Steel grits,,,Reseller,Manufacturer
10-06-2022,1076452865,72051011,Iron and Steel,STEEL GRIT GH-40 (STEEL SHOT & STEEL GRIT) ,INDIA,PATLI ICD (INPTL6),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  18 ," $ 17,691 ", $ 0.98 ,,,,Steel Shot,GH40,Grits,Steel grits,,,Reseller,Manufacturer
14-02-2022,1470398382,72051011,Iron and Steel,STEEL GRIT GH50 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  2 ," $ 1,695 ", $ 1.13 ,,,,Steel Shot,GH50,Grits,Steel grits,,,Reseller,Manufacturer
11-04-2022,1113056741,72051011,Iron and Steel,STEEL GRIT GH50 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),FORTUNE PROCURATORS INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  2 ," $ 1,666 ", $ 1.11 ,,,,Steel Shot,GH50,Grits,Steel grits,,,Reseller,Manufacturer
10-12-2020,1.0122E+15,72051011,Iron and Steel,STEEL GRIT GP25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  12 ," $ 7,259 ", $ 0.60 ,,,,Steel Shot,GP25,Grits,Steel grits,,,Reseller,Manufacturer
10-12-2020,1.0122E+15,72051011,Iron and Steel,STEEL GRIT GP25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  12 ," $ 7,259 ", $ 0.60 ,,,,Steel Shot,GP25,Grits,Steel grits,,,Reseller,Manufacturer
11-12-2021,1095561311,72051011,Iron and Steel,STEEL GRIT GP25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  12 ," $ 10,844 ", $ 0.90 ,,,,Steel Shot,GP25,Grits,Steel grits,,,Reseller,Manufacturer
28-02-2022,1313219133,72051011,Iron and Steel,STEEL GRIT GP25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  18 ," $ 16,742 ", $ 0.93 ,,,,Steel Shot,GP25,Grits,Steel grits,,,Reseller,Manufacturer
12-03-2022,1053419765,72051011,Iron and Steel,STEEL GRIT GP25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  12 ," $ 11,042 ", $ 920.17 ,,,,Steel Shot,GP25,Grits,Steel grits,,,Reseller,Manufacturer
23-05-2022,1124632592,72051011,Iron and Steel,STEEL GRIT GP25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  15 ," $ 13,584 ", $ 0.91 ,,,,Steel Shot,GP25,Grits,Steel grits,,,Reseller,Manufacturer
04-06-2022,1054769499,72051011,Iron and Steel,STEEL GRIT GP25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  6 ," $ 5,950 ", $ 0.99 ,,,,Steel Shot,GP25,Grits,Steel grits,,,Reseller,Manufacturer
06-06-2022,1004711120,72051011,Iron and Steel,STEEL GRIT GP25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  6 ," $ 5,950 ", $ 0.99 ,,,,Steel Shot,GP25,Grits,Steel grits,,,Reseller,Manufacturer
11-06-2022,1169747042,72051011,Iron and Steel,STEEL GRIT GP25 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  15 ," $ 14,808 ", $ 0.99 ,,,,Steel Shot,GP25,Grits,Steel grits,,,Reseller,Manufacturer
22-06-2022,1081567783,72051011,Iron and Steel,STEEL GRIT GP40 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  12 ," $ 11,570 ", $ 0.96 ,,,,Steel Shot,GP40,Grits,Steel grits,,,Reseller,Manufacturer
23-05-2022,1146103761,72051011,Iron and Steel,STEEL GRIT GP50 (STEEL GRITS & STEEL SHOTS) ,INDIA,NHAVA SHEVA SEA (INNSA1),WINOA ABRASIVES INDIA PRIVATE LIMITED,THAILAND,Winoa Group,,MTS,  9 ," $ 8,151 ", $ 0.91 ,,,,Steel Shot,GP50,Grits,Steel grits,,,Reseller,Manufacturer
02-06-2020,0206202014970609,72051011,Iron and Steel,"STEEL GRITS -GH-18 ""WA BRAND"" ",INDIA,KOLKATA SEA (INCCU1),TEGA INDUSTRIES LIMITED,THAILAND,Winoa Group,BANGKOK,MTS,  9 ," $ 6,835 ", $ 759.49 ,,,,Steel Shot,GH18,Grits,Steel grits,,,Reseller,Manufacturer
